rotation_range,activation,cnn_unlock_epoch,base_model,num_dense_units_0,learning_rate,final_val_error,zoom_range,batch_size,height_shift_range,optimizer,epochs,cnn_learning_rate,run_name,width_shift_range,num_dense_layers,num_dense_units_1,unfreeze_percentage
24,tanh,27,ResNet50,455,0.00016064634883598665,1.0,0.273,44,0.267,SGD,32,6.51402026530474e-05,run_2018-02-08-160313_,0.013,2,313,0.0801402706163908
24,relu,27,MobileNet,427,0.0010192003596035026,0.532467528597101,0.273,22,0.267,RMSProp,4,5.93659901713247e-05,run_2018-02-08-144425_,0.013,3,245,0.05015390769595599
24,tanh,27,MobileNet,886,0.007950523324340406,0.7922077917239883,0.273,22,0.267,SGD,2,0.00027010778969882874,run_2018-02-08-141239_,0.013,2,388,0.04777981862573932
24,tanh,23,InceptionResNetV2,372,0.00026835738398635247,0.7798165118475573,0.273,16,0.267,Adam,2,8.451343082591651e-05,run_2018-02-08-133713_,0.013,3,149,0.2020157313067293
24,relu,18,InceptionResNetV2,256,0.008134440548722746,0.5625,0.273,28,0.267,Adam,32,0.0002459909810587713,run_2018-02-08-154040_,0.013,3,128,0.13209987280665508
24,tanh,28,InceptionV3,203,0.0004032591292372277,0.6493506466413473,0.273,23,0.267,Adam,8,2.880793251858514e-05,run_2018-02-08-144632_,0.013,2,112,0.2442824728736464
24,relu,30,Xception,689,0.009572733114123077,0.875,0.273,49,0.267,SGD,2,1.6463113350334674e-05,run_2018-02-08-133447_,0.013,2,145,0.26618976141046374
24,tanh,29,ResNet50,337,0.000159986876398245,0.9174311926605505,0.273,18,0.267,RMSProp,4,1.286200440573248e-05,run_2018-02-08-142813_,0.013,2,313,0.17379389206881155
24,tanh,17,InceptionResNetV2,154,0.0024308929635706755,0.875,0.273,31,0.267,RMSProp,4,3.822536554534092e-05,run_2018-02-08-142058_,0.013,3,199,0.29319317413415363
24,tanh,10,MobileNet,278,0.009762454574108563,0.84375,0.273,51,0.267,RMSProp,2,0.0007606639430595606,run_2018-02-08-133459_,0.013,3,233,0.24068245638600697
